Epoch,Train Loss,Val Loss,Train MAE,Val MAE
1,0.038454743550170825,0.009033784195937278,0.15573468005858393,0.07638316305682939
2,0.0335138380008785,0.006985364550286356,0.14569367716709772,0.0647510373417069
3,0.03192945350087267,0.007337844824934958,0.14129303046796896,0.06707939929759302
4,0.028241472196949936,0.005618972646095986,0.1329765206336472,0.05860019044778427
5,0.025183851021157288,0.006531176932582616,0.12548089835336942,0.0636015494017541
6,0.023401356007479415,0.005746047757957287,0.12146231670419878,0.059849501861368906
7,0.02286846653012095,0.006888582298782568,0.1187133494811722,0.06620144912926089
8,0.021558536923950232,0.004372766373009898,0.11609182704853106,0.050216146423911846
9,0.019836121427390396,0.005050257599165178,0.1112163849646532,0.056708030058305804
10,0.01830705866720606,0.0032981540364538076,0.10665015055786205,0.04262409734876216
11,0.01779261569960145,0.004811388587172167,0.10457353837756668,0.053291637951335985
12,0.016284838314895137,0.0044870127047247745,0.10001699824499179,0.0545660095336307
13,0.016082491328790468,0.0028613110570855312,0.09947468929841549,0.04002336896329868
14,0.01479562237968802,0.0028638064850536526,0.09564256962027227,0.04165233690448168
15,0.013880945836441427,0.003530648462141731,0.0917374015420298,0.04549356509281808
16,0.014149905618610261,0.0025577106241121135,0.09317340403166502,0.03851730987711364
17,0.0126532255495085,0.0032386331615515615,0.08775282776934185,0.043293225461570155
18,0.01230103208365131,0.0035038882159205355,0.0865091175972661,0.046925298940046
19,0.011528981047906454,0.0027990018505751773,0.08397223875869679,0.04140436276010856
20,0.011092674439057771,0.003416811684420442,0.08193309866049119,0.043747625352830444
21,0.01033045975039497,0.0022936607840639235,0.07896902464047263,0.03592971430606201
22,0.010013418283926535,0.0032353946917588598,0.07789949605925174,0.04374785562429358
23,0.009706916922176815,0.0024274449488304616,0.07632475299171254,0.03674662000491839
24,0.009017012563420121,0.0018594706873213795,0.0744019047463242,0.03222623516750686
25,0.009046156152902085,0.00229680205978054,0.07351476037363966,0.03702268592950677
26,0.008416698393824546,0.003144556571369474,0.07091378928299695,0.043752585295118204
27,0.008652330391926352,0.0015764564193566056,0.07198416275062641,0.029412504582971084
28,0.008228225889910437,0.0018505571243018616,0.06973846154562531,0.03196885223899569
29,0.007562578371863513,0.0018000892953391524,0.06673654887180791,0.0320540923046089
30,0.007444342563934781,0.002350508373577007,0.06583595782015395,0.0373836685629452
31,0.007262652287974891,0.0014854425592778424,0.06488606286577031,0.028597566886108462
32,0.007019635320362097,0.0020804668394183473,0.06380565128906115,0.03645871041984368
33,0.006984692508991384,0.001972341720952003,0.06326813925890731,0.03293538396833699
34,0.006353061227717355,0.0017387692040290307,0.06055764446844532,0.03095912525602499
35,0.006154692795162997,0.0017695871471356945,0.05927252650009429,0.030631921942807547
36,0.006224371579314586,0.0019645863259113356,0.05889367234386221,0.034578166823802874
37,0.006227391060217744,0.0016374571147147847,0.059251098048712134,0.03004993369192386
38,0.005978923085644716,0.00149193309597718,0.05745679570778513,0.027380961866094535
39,0.005662505576320244,0.0018459799801715563,0.05600229859792231,0.032201379428015035
40,0.0055024824272212475,0.0009601369989055655,0.055234376836238025,0.022525318127375942
