filename,l_x,l_y,c_x,c_y,r_x,r_y
frame_000105.png,0.022321428571428572,0.5982142857142857,0.32589285714285715,0.6116071428571429,0.7232142857142857,0.6026785714285714
frame_000111.png,0.0,0.5982142857142857,0.36607142857142855,0.59375,0.7142857142857143,0.6026785714285714
frame_000116.png,0.008928571428571428,0.6026785714285714,0.36160714285714285,0.6116071428571429,0.6919642857142857,0.6116071428571429
frame_000123.png,0.008928571428571428,0.6026785714285714,0.3482142857142857,0.6116071428571429,0.7098214285714286,0.6116071428571429
frame_000127.png,0.004464285714285714,0.5803571428571429,0.32589285714285715,0.5848214285714286,0.625,0.5803571428571429
frame_000129.png,0.013392857142857142,0.5848214285714286,0.3125,0.5848214285714286,0.625,0.5848214285714286
frame_000131.png,0.008928571428571428,0.6026785714285714,0.33035714285714285,0.6026785714285714,0.65625,0.5982142857142857
frame_000136.png,0.004464285714285714,0.5848214285714286,0.3125,0.5848214285714286,0.6339285714285714,0.5848214285714286
frame_000138.png,0.004464285714285714,0.5848214285714286,0.30357142857142855,0.5848214285714286,0.625,0.5848214285714286
frame_000140.png,0.004464285714285714,0.59375,0.32589285714285715,0.5982142857142857,0.6294642857142857,0.6026785714285714
frame_000148.png,0.013392857142857142,0.5982142857142857,0.32142857142857145,0.6026785714285714,0.6026785714285714,0.6026785714285714
frame_000151.png,0.008928571428571428,0.59375,0.30357142857142855,0.59375,0.5669642857142857,0.5982142857142857
frame_000154.png,0.008928571428571428,0.5982142857142857,0.3125,0.5982142857142857,0.5892857142857143,0.5982142857142857
frame_000156.png,0.013392857142857142,0.5848214285714286,0.32142857142857145,0.59375,0.625,0.59375
frame_000157.png,0.004464285714285714,0.59375,0.32589285714285715,0.59375,0.6026785714285714,0.59375
frame_000158.png,0.004464285714285714,0.5848214285714286,0.32589285714285715,0.5848214285714286,0.625,0.59375
frame_000159.png,0.022321428571428572,0.5848214285714286,0.33482142857142855,0.5848214285714286,0.625,0.5848214285714286
frame_000161.png,0.004464285714285714,0.6026785714285714,0.36160714285714285,0.6116071428571429,0.6964285714285714,0.6116071428571429
frame_000165.png,0.008928571428571428,0.6116071428571429,0.4017857142857143,0.6160714285714286,0.7455357142857143,0.6205357142857143
frame_000166.png,0.008928571428571428,0.6116071428571429,0.375,0.6116071428571429,0.7633928571428571,0.6116071428571429
frame_000167.png,0.0,0.6160714285714286,0.4642857142857143,0.6160714285714286,0.7678571428571429,0.6160714285714286
frame_000170.png,0.008928571428571428,0.6116071428571429,0.4419642857142857,0.6160714285714286,0.7366071428571429,0.625
frame_000175.png,0.004464285714285714,0.6026785714285714,0.39285714285714285,0.6026785714285714,0.7232142857142857,0.5982142857142857
frame_000179.png,0.022321428571428572,0.6160714285714286,0.4107142857142857,0.6205357142857143,0.7633928571428571,0.6339285714285714
frame_000193.png,0.013392857142857142,0.6160714285714286,0.4017857142857143,0.6160714285714286,0.75,0.6160714285714286
frame_000195.png,0.022321428571428572,0.6160714285714286,0.48660714285714285,0.6116071428571429,0.7366071428571429,0.6116071428571429
frame_000199.png,0.008928571428571428,0.6026785714285714,0.42410714285714285,0.6116071428571429,0.7321428571428571,0.6116071428571429
frame_000206.png,0.022321428571428572,0.6383928571428571,0.4642857142857143,0.6383928571428571,0.8035714285714286,0.6383928571428571
frame_000208.png,0.013392857142857142,0.6205357142857143,0.4419642857142857,0.6160714285714286,0.7767857142857143,0.6160714285714286
frame_000211.png,0.004464285714285714,0.6160714285714286,0.48660714285714285,0.6116071428571429,0.7857142857142857,0.6116071428571429
frame_000221.png,0.004464285714285714,0.6205357142857143,0.45535714285714285,0.625,0.8125,0.625
frame_000223.png,0.013392857142857142,0.625,0.4732142857142857,0.625,0.8258928571428571,0.6339285714285714
frame_000225.png,0.008928571428571428,0.6205357142857143,0.45089285714285715,0.625,0.8080357142857143,0.625
frame_000234.png,0.022321428571428572,0.6205357142857143,0.4419642857142857,0.6116071428571429,0.8125,0.6116071428571429
frame_000235.png,0.013392857142857142,0.6205357142857143,0.4642857142857143,0.625,0.8125,0.625
frame_000236.png,0.008928571428571428,0.6339285714285714,0.45535714285714285,0.6339285714285714,0.8035714285714286,0.6339285714285714
frame_000239.png,0.013392857142857142,0.6339285714285714,0.45535714285714285,0.6383928571428571,0.8258928571428571,0.6205357142857143
frame_000241.png,0.013392857142857142,0.625,0.4419642857142857,0.6339285714285714,0.8303571428571429,0.6383928571428571
